symbol,asset_type,price,future_price,price_change,signal,label,ma5_cross,ma10_cross,ma20_cross,price_vs_ma20,price_vs_ma50,mom5,mom10,mom20,vol10,vol20,vol_ratio,rsi,macd_cross,macd_hist,bb_position,roc5,roc10,atr_pct,obv_pct,vol_trend,hl_position,score
LMT,STOCK,1.770322,1.829565,3.3465,BUY,1,6.3015,3.5413,4.7917,8.698,13.9065,5.1759,11.4035,9.9568,10.6755,14.9322,0.7149,91.2502,0.0136,0.0136,0.9891,5.1759,11.4035,1.7576,9.0323,14.9159,99.9999,3
LMT,STOCK,1.798202,1.878353,4.4572,BUY,1,6.8228,4.2257,4.8034,9.8458,15.1221,5.0918,12.4185,10.2565,11.207,16.7423,0.6694,91.8606,0.015,0.015,1.0,5.0918,12.4185,1.7304,11.1011,10.6383,100.0,3
LMT,STOCK,1.81214,1.895779,4.6155,BUY,1,7.5833,4.7488,4.9157,9.9947,15.4017,6.9958,12.069,13.0435,9.9365,17.6471,0.5631,94.3186,0.0156,0.0156,0.9286,6.9958,12.069,1.7308,12.6051,12.2454,96.3415,4
LMT,STOCK,1.902748,1.881838,-1.0989,SELL,1,3.4691,2.187,8.7777,2.9412,11.9771,0.3676,6.0194,9.8592,5.3435,9.9602,0.5365,64.7061,-0.0017,-0.0017,0.5243,0.3676,6.0194,2.0539,9.7145,-21.5736,80.3571,2
LMT,STOCK,1.623955,1.787746,10.0859,SELL,0,-3.3614,-3.8615,-2.9288,-6.7628,-9.4935,-3.5198,-5.0917,-12.4061,5.3648,15.8799,0.3378,24.0385,-0.0083,-0.0083,-0.7179,-3.5198,-5.0917,3.1423,-8.8965,-38.7477,-0.0,-4
LMT,STOCK,1.669259,1.777292,6.4719,SELL,0,-3.2609,-3.4219,-3.4965,-3.583,-6.9542,-2.444,-1.4405,-11.1318,5.3648,15.8799,0.3378,36.1903,-0.0059,-0.0059,-0.402,-2.444,-1.4405,2.8035,-7.5643,-26.683,16.6666,-4
LMT,STOCK,1.80517,1.669259,-7.529,BUY,0,3.1967,0.5738,-5.0621,6.1475,0.7743,7.9166,6.8041,3.1872,11.1588,11.1588,1.0,69.7245,0.0175,0.0175,1.1447,7.9166,6.8041,2.358,1.1075,39.9244,100.0,3
LMT,STOCK,1.81214,1.745928,-3.6538,BUY,0,4.3371,1.1866,-4.9175,6.383,1.1516,6.5574,7.8838,3.1746,11.588,11.588,1.0,67.9608,0.0195,0.0195,1.0779,6.5574,7.8838,2.2528,2.8262,32.3825,94.7369,3
LMT,STOCK,1.787746,1.714562,-4.0937,BUY,0,4.5111,1.9187,-4.6739,4.7153,-0.179,1.9881,10.0859,4.4807,8.5596,11.588,0.7387,60.7843,0.0184,0.0184,0.7498,1.9881,10.0859,2.2278,4.3432,12.7631,82.4567,3
LMT,STOCK,1.712176,1.659439,-3.0801,SELL,1,-0.2624,0.1948,-0.5654,-0.9378,-1.4979,-2.323,2.5711,-5.1515,3.0128,9.0147,0.3342,47.947,-0.0,-0.0,-0.205,-2.323,2.5711,2.475,-6.165,-29.1126,46.297,-4
LMT,STOCK,1.715692,1.63483,-4.7131,SELL,1,-0.3342,0.2997,-0.6849,-0.4566,-1.1384,-1.7318,-1.7318,-5.3223,3.0128,7.5472,0.3992,60.5321,-0.0003,-0.0003,-0.1138,-1.7318,-1.7318,2.2966,-4.9803,-29.8763,49.6909,-3
LMT,STOCK,1.691082,1.648893,-2.4948,SELL,1,-0.5858,0.4451,-0.7771,-1.6085,-2.3732,-2.6315,-1.3694,-5.407,3.6553,6.9183,0.5284,54.6074,-0.002,-0.002,-0.4329,-2.6315,-1.3694,2.2427,-5.108,-24.4988,43.3924,-4
LMT,STOCK,1.729755,1.652408,-4.4716,SELL,1,-0.7971,0.0173,-0.6741,1.1771,0.4951,1.0267,-1.3202,0.0724,4.9894,5.4507,0.9154,47.137,-0.0017,-0.0017,0.3268,1.0267,-1.3202,2.2691,-1.7934,-10.3295,70.3466,-1
LMT,STOCK,1.648893,1.807102,9.5948,BUY,1,-1.9894,-1.0225,0.0135,-3.5118,-3.4988,-4.8682,-2.4948,-3.8301,6.2365,7.222,0.8635,36.7089,-0.0069,-0.0069,-0.8643,-4.8682,-2.4948,2.1474,1.6215,30.2119,14.1108,-4
LMT,STOCK,1.652408,1.842259,11.4894,BUY,1,-2.4411,-0.7833,-0.707,-2.6069,-3.2954,-0.4237,-4.4716,-5.7327,6.2365,6.7957,0.9177,39.0243,-0.0047,-0.0047,-0.6513,-0.4237,-4.4716,2.2492,5.7111,60.2143,17.0724,-2
LMT,STOCK,1.631314,1.831711,12.2844,BUY,1,-2.152,-1.05,-1.0145,-3.5243,-4.5031,-0.2151,-5.8824,-6.5646,6.4655,6.4655,1.0,39.506,-0.0057,-0.0057,-0.8559,-0.2151,-5.8824,2.4015,5.3745,60.1245,16.6666,-2
LMT,STOCK,1.814133,1.986406,9.4961,SELL,0,4.3126,4.2114,0.5652,4.4746,5.0651,-1.5267,4.2425,9.3221,3.1496,12.931,0.2436,80.2323,0.0088,0.0088,0.5046,-1.5267,4.2425,2.0626,10.2632,-29.8385,81.0813,1
LMT,STOCK,2.021564,1.902027,-5.9131,BUY,0,5.1215,2.2196,4.5415,10.5026,15.521,10.577,12.7452,21.5645,11.4341,20.2929,0.5635,79.6114,0.0172,0.0172,1.3769,10.577,12.7452,2.2981,9.1182,22.9894,95.2381,3
LMT,STOCK,2.000468,1.898511,-5.0967,BUY,0,5.6201,2.3433,5.0621,8.4016,13.8889,6.9549,10.2713,19.0376,11.4341,16.1617,0.7075,72.7269,0.0183,0.0183,1.1,6.9549,10.2713,2.3851,5.8529,31.9608,85.2941,3
LMT,STOCK,1.986406,1.845776,-7.0796,BUY,0,5.8668,2.5927,5.3821,6.9266,12.6815,4.6297,9.4961,14.1415,11.4341,13.1889,0.8669,72.0,0.0167,0.0167,0.8874,4.6297,9.4961,2.3515,3.1622,40.3712,75.0822,3
LMT,STOCK,1.975858,1.81765,-8.0071,BUY,0,6.4206,2.9373,5.6449,5.8181,11.7915,5.441,8.9147,10.6299,11.4341,12.7452,0.8971,75.7889,0.0137,0.0137,0.7254,5.441,8.9147,2.2623,1.3594,45.2721,70.6666,3
LMT,STOCK,1.845776,1.632533,-11.553,SELL,1,-0.9356,0.5504,6.3568,-3.6874,2.4351,-5.2346,-7.0796,1.7442,7.0476,11.4341,0.6164,45.9186,-0.0171,-0.0171,-0.5916,-5.2346,-7.0796,3.2245,-2.1106,-23.4763,20.2709,-4
LMT,STOCK,1.81765,1.714161,-5.6936,SELL,1,-2.1553,-0.2843,6.2463,-5.1637,0.7601,-5.9999,-8.0071,0.1939,7.7369,11.4341,0.6766,27.381,-0.0211,-0.0211,-0.8327,-5.9999,-8.0071,3.2467,-3.4256,-16.721,15.19,-4
LMT,STOCK,1.81765,1.724808,-5.1078,SELL,1,-3.1548,-1.0088,6.1072,-5.1724,0.619,-4.9632,-7.0144,0.1939,7.7369,11.2185,0.6897,4.6866,-0.0229,-0.0229,-0.8384,-4.9632,-7.0144,2.7217,-4.293,-10.6121,15.19,-4
LMT,STOCK,1.7532,1.763846,0.6072,BUY,1,0.1292,-0.4275,-2.3121,-1.7795,-4.0504,-1.9841,-2.3714,2.2774,4.8979,6.1728,0.7935,40.9093,0.0004,0.0004,-0.5316,-1.9841,-2.3714,2.0532,1.7375,16.1604,35.0008,1
LMT,STOCK,1.692867,1.572201,-7.1279,SELL,1,-1.8269,-0.542,0.0686,-4.2361,-4.1704,-4.2167,-4.2167,-3.8306,5.87,7.3375,0.8,34.6939,-0.0067,-0.0067,-1.3303,-4.2167,-4.2167,1.4226,-2.0485,-32.1212,0.0,-4
LMT,STOCK,1.689318,1.621886,-3.9917,SELL,1,-2.2356,-0.7049,-0.1674,-4.1289,-4.2894,-3.6437,-4.7999,-6.2992,6.0924,7.563,0.8056,26.6664,-0.0084,-0.0084,-1.1471,-3.6437,-4.7999,1.3505,-3.3521,-15.4472,7.3172,-4
LMT,STOCK,1.738103,1.594755,-8.2474,BUY,0,3.586,3.8729,1.3892,7.0286,8.5154,1.4644,5.4347,23.4096,5.6645,19.7531,0.2868,78.4942,0.0108,0.0108,0.7614,1.4644,5.4347,1.9882,6.7817,24.8312,96.8421,3
LMT,STOCK,1.702264,1.637759,-3.7894,BUY,0,3.1862,3.3614,2.201,4.0183,6.3078,1.9313,2.8138,17.2839,5.6645,12.7906,0.4429,70.2964,0.0089,0.0089,0.5027,1.9313,2.8138,2.0602,3.2551,44.7388,82.8942,3
LMT,STOCK,1.673596,1.627008,-2.7837,BUY,0,3.1188,2.9007,2.6398,1.8539,4.5426,1.7429,-0.4265,8.6046,5.6645,12.2686,0.4617,63.1066,0.0051,0.0051,0.2456,1.7429,-0.4265,2.1413,1.2177,41.8569,67.1878,3
LMT,STOCK,1.605506,1.763189,9.8214,SELL,0,-0.2231,0.6024,0.2281,-0.0446,0.1834,-2.8199,-1.9694,-5.6841,4.5351,11.1905,0.4053,60.0,-0.0019,-0.0019,-0.0081,-2.8199,-1.9694,2.5829,-3.9157,-10.2651,63.6364,-4
LMT,STOCK,1.605506,1.759605,9.5982,SELL,0,-0.4584,0.682,-0.0559,0.1677,0.1117,-2.1835,-1.3216,-4.0685,4.5351,10.0,0.4535,66.2792,-0.0014,-0.0014,0.0324,-2.1835,-1.3216,2.4713,-3.4371,-22.4894,64.6155,-4
LMT,STOCK,1.77394,1.753851,-1.1324,BUY,0,3.2583,1.2027,0.8068,8.244,9.1174,6.681,12.2449,11.2359,10.491,12.2449,0.8568,66.0377,0.0142,0.0142,1.5852,6.681,12.2449,1.9914,3.5094,18.8899,100.0,3
LMT,STOCK,1.759605,1.815326,3.1667,BUY,1,4.8383,2.2998,0.9418,6.5307,7.5339,6.9717,9.5982,8.1498,9.5133,12.2449,0.7769,76.0867,0.0163,0.0163,0.9617,6.9717,9.5982,1.8912,2.2613,24.6231,86.2068,4
LMT,STOCK,1.934661,1.887651,-2.4299,BUY,0,2.7823,1.5927,5.5989,7.8629,13.9021,8.5192,6.3618,10.173,8.5192,15.0537,0.5659,81.0524,0.0076,0.0076,1.3666,8.5192,6.3618,1.8692,7.1584,65.3516,95.8905,4
LMT,STOCK,1.952743,1.91658,-1.8519,BUY,0,4.0321,1.9258,5.739,8.325,14.5418,8.871,8.4338,10.2041,9.5334,16.129,0.5911,80.2196,0.0116,0.0116,1.2136,8.871,8.4338,1.8783,6.8222,57.7778,97.4026,4
LMT,STOCK,1.91658,1.779165,-7.1698,BUY,0,5.8039,2.3395,5.7669,5.5251,11.6107,6.8549,6.2125,8.1633,9.5334,16.129,0.5911,66.6665,0.0095,0.0095,0.7181,6.8549,6.2125,1.8599,7.0568,60.2701,83.3333,4
LMT,STOCK,1.938277,1.808095,-6.7164,BUY,0,5.8241,2.5753,5.8099,6.1807,12.3496,2.682,7.6306,10.5155,9.5334,16.129,0.5911,68.539,0.0091,0.0091,0.7715,2.682,7.6306,1.9057,9.2053,24.5033,91.0255,4
LMT,STOCK,1.920198,1.786398,-6.968,SELL,1,4.2356,2.8465,6.0977,3.8835,10.218,-1.6666,7.0566,11.5547,8.871,11.3403,0.7823,66.6672,0.0053,0.0053,0.5431,-1.6666,7.0566,1.9639,8.5214,-17.833,81.2509,1
LMT,STOCK,1.786398,1.822559,2.0242,BUY,1,-1.822,-0.6845,5.1208,-4.7527,0.1247,-5.3639,-8.0074,0.2028,7.9269,9.7561,0.8125,29.8246,-0.0196,-0.0196,-0.7676,-5.3639,-8.0074,2.5593,1.7817,90.7955,14.0354,-4
