symbol,asset_type,price,future_price,price_change,signal,label,ma5_cross,ma10_cross,ma20_cross,price_vs_ma20,price_vs_ma50,mom5,mom10,mom20,vol10,vol20,vol_ratio,rsi,macd_cross,macd_hist,bb_position,roc5,roc10,score
ABTC,STOCK,3.11,3.135,0.8039,BUY,1,0.2214,-2.7253,-5.2025,5.9445,0.4327,17.3585,6.5068,18.4762,23.3962,45.4183,0.5151,34.8315,0.0504,0.0504,0.3072,17.3585,6.5068,3
ABTC,STOCK,0.99,0.785,-20.7071,BUY,0,-15.9119,-15.3718,-22.2244,-17.7399,-36.0217,2.0619,-17.1548,-40.3614,22.5131,62.8272,0.3583,27.1186,0.0002,0.0002,-0.5151,2.0619,-17.1548,-1
ABTC,STOCK,0.885,1.26,42.3729,BUY,1,-10.0086,-7.5281,-12.2884,-10.029,-21.085,2.907,-6.547,-18.8073,24.4304,46.8354,0.5216,36.3316,0.0045,0.0045,-0.5215,2.907,-6.547,-1
ABTC,STOCK,0.872,1.24,42.2018,BUY,1,-7.2666,-7.4004,-12.2756,-10.3111,-21.3209,10.3797,-9.6373,-20.7273,24.4304,46.8354,0.5216,33.2143,0.0046,0.0046,-0.5358,10.3797,-9.6373,-1
PFE,STOCK,0.144075,0.139228,-3.3642,BUY,0,0.1838,-0.9798,-2.3435,0.1227,-2.2237,1.8695,1.5528,-4.386,4.4584,8.9174,0.5,37.7787,0.0003,0.0003,0.0251,1.8695,1.5528,3
PFE,STOCK,0.093125,0.100109,7.4996,BUY,1,0.4398,-1.4345,-3.8281,-1.3361,-5.113,2.0403,4.1667,-2.7059,5.6113,13.2707,0.4228,36.5846,0.0006,0.0006,-0.2113,2.0403,4.1667,4
PFE,STOCK,0.107064,0.101586,-5.1166,SELL,1,-0.6642,-0.2846,0.6719,1.9925,2.6778,1.8958,3.865,0.901,3.865,3.865,1.0,66.6667,-0.0,-0.0,0.6916,1.8958,3.865,-1
PFE,STOCK,0.10813,0.112154,3.7214,SELL,0,-0.2804,1.028,1.2281,0.467,1.7008,-1.8267,0.0,1.895,3.791,5.7969,0.654,60.001,-0.0002,-0.0002,0.1293,-1.8267,0.0,-3
PFE,STOCK,0.172678,0.1809,4.7615,SELL,0,-0.0978,1.0767,5.011,2.7733,7.9233,2.6062,2.6062,3.9603,5.28,7.7701,0.6795,60.3447,-0.0003,-0.0003,0.7295,2.6062,2.6062,0
PFE,STOCK,0.220501,0.233848,6.053,SELL,0,-0.0984,1.0717,5.3599,0.7498,6.1499,-2.2637,-2.2637,7.3186,4.5164,10.9245,0.4134,63.3281,-0.0009,-0.0009,0.1169,-2.2637,-2.2637,-4
PFE,STOCK,0.371225,0.33553,-9.6155,SELL,1,4.8847,4.4267,11.2705,5.8345,17.7625,-2.1944,7.9585,16.4178,11.15,15.5799,0.7157,67.1134,-0.0001,-0.0001,0.5716,-2.1944,7.9585,-1
PFE,STOCK,0.338036,0.345883,2.3214,SELL,0,-0.0904,0.935,-0.4952,0.2974,-0.1993,-1.4593,-2.4804,3.2243,3.5844,6.8266,0.5251,60.2754,-0.0001,-0.0001,0.0723,-1.4593,-2.4804,-3
